slug,netid,score
cs-491-mst-problems-a-magical-graph-cycle-,pk46,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,pk46,100.0
cs-491-mst-problems-c-xor-mst,pk46,100.0
cs-491-mst-problems-d-covid-test,pk46,100.0
cs-491-mst-problems-a-magical-graph-cycle-,aayush8,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,aayush8,100.0
cs-491-mst-problems-c-xor-mst,aayush8,100.0
cs-491-mst-problems-d-covid-test,aayush8,100.0
cs-491-mst-problems-a-magical-graph-cycle-,pps6,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,pps6,100.0
cs-491-mst-problems-c-xor-mst,pps6,100.0
cs-491-mst-problems-d-covid-test,pps6,100.0
cs-491-mst-problems-a-magical-graph-cycle-,tvm3,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,tvm3,100.0
cs-491-mst-problems-c-xor-mst,tvm3,100.0
cs-491-mst-problems-d-covid-test,tvm3,100.0
cs-491-mst-problems-a-magical-graph-cycle-,gauravr2,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,gauravr2,100.0
cs-491-mst-problems-c-xor-mst,gauravr2,100.0
cs-491-mst-problems-d-covid-test,gauravr2,100.0
cs-491-mst-problems-a-magical-graph-cycle-,rkmohan2,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,rkmohan2,100.0
cs-491-mst-problems-c-xor-mst,rkmohan2,100.0
cs-491-mst-problems-d-covid-test,rkmohan2,100.0
cs-491-mst-problems-a-magical-graph-cycle-,sawanoi2,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,sawanoi2,100.0
cs-491-mst-problems-c-xor-mst,sawanoi2,100.0
cs-491-mst-problems-d-covid-test,sawanoi2,100.0
cs-491-mst-problems-a-magical-graph-cycle-,rohitmb2,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,rohitmb2,100.0
cs-491-mst-problems-c-xor-mst,rohitmb2,100.0
cs-491-mst-problems-d-covid-test,rohitmb2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,ashwath6,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,ashwath6,100.0
cs-491-mst-problems-c-xor-mst,ashwath6,100.0
cs-491-mst-problems-d-covid-test,ashwath6,0.0
cs-491-mst-problems-a-magical-graph-cycle-,zihengc2,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,zihengc2,100.0
cs-491-mst-problems-c-xor-mst,zihengc2,100.0
cs-491-mst-problems-d-covid-test,zihengc2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,geda2,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,geda2,100.0
cs-491-mst-problems-c-xor-mst,geda2,100.0
cs-491-mst-problems-d-covid-test,geda2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,cychen6,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,cychen6,100.0
cs-491-mst-problems-c-xor-mst,cychen6,100.0
cs-491-mst-problems-d-covid-test,cychen6,0.0
cs-491-mst-problems-a-magical-graph-cycle-,smudili2,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,smudili2,100.0
cs-491-mst-problems-c-xor-mst,smudili2,100.0
cs-491-mst-problems-d-covid-test,smudili2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,kona2,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,kona2,100.0
cs-491-mst-problems-c-xor-mst,kona2,100.0
cs-491-mst-problems-d-covid-test,kona2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,anupamd2,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,anupamd2,100.0
cs-491-mst-problems-c-xor-mst,anupamd2,100.0
cs-491-mst-problems-d-covid-test,anupamd2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,jacobak3,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,jacobak3,100.0
cs-491-mst-problems-c-xor-mst,jacobak3,100.0
cs-491-mst-problems-d-covid-test,jacobak3,0.0
cs-491-mst-problems-a-magical-graph-cycle-,peiyuan3,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,peiyuan3,0.0
cs-491-mst-problems-c-xor-mst,peiyuan3,100.0
cs-491-mst-problems-d-covid-test,peiyuan3,0.0
cs-491-mst-problems-a-magical-graph-cycle-,nuoxing2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,nuoxing2,100.0
cs-491-mst-problems-c-xor-mst,nuoxing2,100.0
cs-491-mst-problems-d-covid-test,nuoxing2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,nishkdp2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,nishkdp2,100.0
cs-491-mst-problems-c-xor-mst,nishkdp2,100.0
cs-491-mst-problems-d-covid-test,nishkdp2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,rajasg2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,rajasg2,100.0
cs-491-mst-problems-c-xor-mst,rajasg2,100.0
cs-491-mst-problems-d-covid-test,rajasg2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,arjit2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,arjit2,100.0
cs-491-mst-problems-c-xor-mst,arjit2,100.0
cs-491-mst-problems-d-covid-test,arjit2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,sdonty2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,sdonty2,100.0
cs-491-mst-problems-c-xor-mst,sdonty2,100.0
cs-491-mst-problems-d-covid-test,sdonty2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,aashayd2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,aashayd2,100.0
cs-491-mst-problems-c-xor-mst,aashayd2,100.0
cs-491-mst-problems-d-covid-test,aashayd2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,esliu3,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,esliu3,0.0
cs-491-mst-problems-c-xor-mst,esliu3,100.0
cs-491-mst-problems-d-covid-test,esliu3,0.0
cs-491-mst-problems-a-magical-graph-cycle-,mihirs2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,mihirs2,100.0
cs-491-mst-problems-c-xor-mst,mihirs2,100.0
cs-491-mst-problems-d-covid-test,mihirs2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,augale2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,augale2,100.0
cs-491-mst-problems-c-xor-mst,augale2,100.0
cs-491-mst-problems-d-covid-test,augale2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,rrfang2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,rrfang2,100.0
cs-491-mst-problems-c-xor-mst,rrfang2,100.0
cs-491-mst-problems-d-covid-test,rrfang2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,zhan32,100.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,zhan32,0.0
cs-491-mst-problems-c-xor-mst,zhan32,100.0
cs-491-mst-problems-d-covid-test,zhan32,0.0
cs-491-mst-problems-a-magical-graph-cycle-,eeho2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,eeho2,0.0
cs-491-mst-problems-c-xor-mst,eeho2,100.0
cs-491-mst-problems-d-covid-test,eeho2,0.0
cs-491-mst-problems-a-magical-graph-cycle-,kasink2,0.0
cs-491-mst-problems-b-letianpie-and-minimum-spanning-trees,kasink2,0.0
cs-491-mst-problems-c-xor-mst,kasink2,100.0
